Tanggal,Hari,Bulan,Tahun,Rayon,Weekend,Libur_Nasional,Jumlah Jukir,Total_Pendapatan
2023-01-20,Jumat,1,2023,1,0,0,80,1200000
2023-01-20,Jumat,1,2023,2,0,0,82,1766000
2023-01-20,Jumat,1,2023,3,0,0,66,1800000
2023-01-20,Jumat,1,2023,4,0,0,122,1802000
2023-01-20,Jumat,1,2023,5,0,0,70,1918000
2023-01-21,Sabtu,1,2023,1,1,0,80,780000
2023-01-21,Sabtu,1,2023,2,1,0,82,1681000
2023-01-21,Sabtu,1,2023,3,1,0,66,1723000
2023-01-21,Sabtu,1,2023,4,1,0,122,1390000
2023-01-21,Sabtu,1,2023,5,1,0,70,1884000
2023-01-22,Minggu,1,2023,1,1,0,80,140000
2023-01-22,Minggu,1,2023,2,1,0,82,610000
2023-01-22,Minggu,1,2023,3,1,0,66,204000
2023-01-22,Minggu,1,2023,4,1,0,122,821000
2023-01-22,Minggu,1,2023,5,1,0,70,130000
2023-01-23,Senin,1,2023,1,0,0,80,610000
2023-01-23,Senin,1,2023,2,0,0,82,1660000
2023-01-23,Senin,1,2023,3,0,0,66,1490000
2023-01-23,Senin,1,2023,4,0,0,122,862000
2023-01-23,Senin,1,2023,5,0,0,70,1770000
2023-01-24,Selasa,1,2023,1,0,0,80,1115000
2023-01-24,Selasa,1,2023,2,0,0,82,1760000
2023-01-24,Selasa,1,2023,3,0,0,66,1778000
2023-01-24,Selasa,1,2023,4,0,0,122,1722000
2023-01-24,Selasa,1,2023,5,0,0,70,1980000
2023-01-25,Rabu,1,2023,1,0,0,80,1170000
2023-01-25,Rabu,1,2023,2,0,0,82,1750000
2023-01-25,Rabu,1,2023,3,0,0,66,1707000
2023-01-25,Rabu,1,2023,4,0,0,122,1711000
2023-01-25,Rabu,1,2023,5,0,0,70,1915000
2023-01-26,Kamis,1,2023,1,0,0,80,1084000
2023-01-26,Kamis,1,2023,2,0,0,82,1736000
2023-01-26,Kamis,1,2023,3,0,0,66,1748000
2023-01-26,Kamis,1,2023,4,0,0,122,1879000
2023-01-26,Kamis,1,2023,5,0,0,70,1903000
2023-01-27,Jumat,1,2023,1,0,0,80,1130000
2023-01-27,Jumat,1,2023,2,0,0,82,1740000
2023-01-27,Jumat,1,2023,3,0,0,66,1783000
2023-01-27,Jumat,1,2023,4,0,0,122,1880000
2023-01-27,Jumat,1,2023,5,0,0,70,1919000
2023-01-28,Sabtu,1,2023,1,1,0,80,820000
2023-01-28,Sabtu,1,2023,2,1,0,82,1726000
2023-01-28,Sabtu,1,2023,3,1,0,66,1728000
2023-01-28,Sabtu,1,2023,4,1,0,122,1372000
2023-01-28,Sabtu,1,2023,5,1,0,70,1899000
2023-01-29,Minggu,1,2023,1,1,0,80,150000
2023-01-29,Minggu,1,2023,2,1,0,82,607000
2023-01-29,Minggu,1,2023,3,1,0,66,150000
2023-01-29,Minggu,1,2023,4,1,0,122,851000
2023-01-29,Minggu,1,2023,5,1,0,70,192000
2023-01-30,Senin,1,2023,1,0,0,80,1195000
2023-01-30,Senin,1,2023,2,0,0,82,1724000
2023-01-30,Senin,1,2023,3,0,0,66,1774000
2023-01-30,Senin,1,2023,4,0,0,122,1870000
2023-01-30,Senin,1,2023,5,0,0,70,1957000
2023-01-31,Selasa,1,2023,1,0,0,80,1140000
2023-01-31,Selasa,1,2023,2,0,0,82,1760000
2023-01-31,Selasa,1,2023,3,0,0,66,1792000
2023-01-31,Selasa,1,2023,4,0,0,122,1903000
2023-01-31,Selasa,1,2023,5,0,0,70,1958000
2023-02-01,Rabu,2,2023,1,0,0,80,1180000
